PacketCounter,Time(ms),x,y,z,Gyr_X,Gyr_Y,Gyr_Z
62,62450.889,2.106251478,20.55211068,11.9548111,-32.88819122,-99.47557831,-9.397096634
63,62459.222,0.199527293,20.72087098,12.32205486,-37.15302658,-96.93843842,-13.40486717
64,62467.555,-1.998064995,21.74730874,12.63245869,-38.93349838,-97.85660553,-13.77164268
65,62475.888,-5.088696957,23.04372979,12.576478,-40.50177765,-100.4040833,-13.32417679
66,62484.221,-8.34773922,22.62925721,12.7124567,-40.10100555,-104.6995773,-12.0483923
67,62492.554,-8.90132618,22.6890278,12.5423193,-39.78255844,-109.965889,-10.96754837
68,62500.887,-7.744865894,22.75832559,12.37008858,-38.66704178,-114.278801,-11.17093372
69,62509.22,-6.605391026,23.20279885,12.01541805,-39.09369278,-117.646431,-13.43484974
70,62517.553,-6.666009903,25.31785775,11.20130253,-35.42550278,-121.7727814,-15.96494102
71,62525.886,-4.252808094,27.4232235,10.1856966,-30.74148369,-124.8174362,-22.2933979
72,62534.219,-2.539979935,28.98527146,8.959149361,-24.82844353,-129.0597839,-30.2121067
73,62542.552,-0.835936606,30.30859567,7.955182076,-19.40059471,-132.3557281,-31.84494209
74,62550.885,-0.011309774,31.45952989,7.211843967,-15.51479721,-133.4478455,-22.68024063
75,62559.218,1.316313982,31.7429638,7.145507336,-14.35267067,-127.3577881,-5.752951622
76,62567.551,2.00801301,29.72789575,8.99971962,-17.14647865,-111.4844513,9.783981323
77,62575.884,2.053081036,26.68649102,11.83627129,-15.22421837,-90.55625916,18.9614048
78,62584.217,2.945494175,26.13814927,13.90081978,-10.58832741,-80.8019104,30.51873016
79,62592.55,4.364625931,19.17600823,13.69868088,-3.581643343,-90.96819305,37.03638458
80,62600.883,6.991929531,7.98279334,13.12679958,-1.068931341,-102.3188782,33.14574814
81,62609.216,5.17151165,2.613939295,17.20599174,-11.02459526,-109.0404434,32.080616
82,62617.549,-0.906135201,-3.877778521,25.41256523,2.236328363,-70.45913696,43.85702133
83,62625.882,-4.267353535,-8.163308134,30.82146454,51.81990433,6.509853363,56.13103104
84,62634.215,-5.024466991,-12.79700088,27.27939987,72.17127228,24.99410057,58.01843643
85,62642.548,-4.266681194,-17.8704338,21.31045723,51.9690094,-41.74539566,52.02390289
86,62650.881,-5.663344383,-19.0039482,14.58549786,27.91141891,-99.89537048,46.0381012
87,62659.214,-9.180039406,-12.23293113,4.669168949,35.84041214,-56.09587479,64.30435944
88,62667.547,-7.510541916,-8.272404661,-2.172851086,16.06286049,33.97442627,68.71708679
89,62675.88,-3.919879675,-3.924037447,-5.155949593,10.37840748,21.52197838,39.28702164
90,62684.213,-1.729534984,4.312880764,-6.464906693,23.52893639,18.29783821,10.43277645
91,62692.546,-3.387314558,9.571582327,-9.573868752,64.4854126,24.36203957,0.32039696
92,62700.879,2.546718597,11.76831723,-8.092727661,40.15177536,3.350027323,11.67958546
93,62709.212,9.492800713,10.57516051,-3.455161333,-15.90138054,11.40155697,21.0144577
94,62717.545,10.65295506,9.772544393,-4.974875927,-17.94130898,23.43945122,23.99041367
95,62725.878,6.321627617,9.055300722,-6.175045013,-7.003475666,19.81563759,24.80788231
96,62734.211,1.656365037,8.158765802,-3.587612629,-4.281024933,18.14567375,21.35593414
97,62742.544,-0.430649102,7.023761759,-1.83831346,-2.008451462,14.61456776,15.70504189
98,62750.877,-1.013175845,6.035603771,0.120912902,-0.710743904,10.7833519,12.02041721
99,62759.21,-1.239775777,4.517067442,1.172544956,2.71719718,9.134512901,11.43067551
100,62767.543,-1.797565222,2.626859913,1.425662518,9.81200695,7.206296921,13.68004036
101,62775.876,-2.552651405,1.047901878,1.637673855,19.00016212,6.842641354,18.78820419
102,62784.209,-2.751281738,0.248584518,1.854450941,21.73792648,3.988473177,25.42676353
103,62792.542,-1.928765416,0.458454857,1.843614936,17.98736954,0.387787074,30.20378304
104,62800.875,-0.871834636,1.442961702,2.062029123,16.0986805,1.079269767,31.98992538
105,62809.208,0.318175942,2.166682789,1.677713871,10.01599407,-0.527833104,32.90528488
106,62817.541,1.105980515,2.389821002,1.500256419,8.271037102,0.325365126,32.44441986
