Time,x,y,z
2.158653846,1.1940612,10.35,5.2739697
2.163461538,0.46661708,10.07,5.807588
2.168269231,-0.18903974,9.91,6.1234517
2.173076923,-0.83751786,9.82,6.369921
2.177884615,-0.3254355,9.70,7.2768335
2.182692308,-1.0528796,9.53,7.398872
2.1875,-1.2371335,9.33,7.5209103
2.192307692,-1.1509888,9.15,7.6644845
2.197115385,-0.93084127,8.88,7.8750606
2.201923077,-1.0337363,8.48,8.0114565
2.206730769,-1.3256711,8.39,8.107173
2.211538462,-0.6556568,8.37,8.411072
2.216346154,-0.39004403,8.20,8.485252
2.221153846,-0.13878867,8.10,8.913583
2.225961538,0.5168682,8.02,9.574025
2.230769231,0.7441944,8.02,9.633848
2.235576923,0.9021264,7.93,9.947319
2.240384615,1.067237,7.70,10.2344675
2.245192308,1.0504867,7.50,11.004984
2.25,1.0385221,7.43,11.12463
2.254807692,0.8710185,7.39,11.634319
2.259615385,0.6460852,7.36,11.629534
2.264423077,0.7633377,7.26,11.847288
2.269230769,0.58626246,7.12,12.019577
2.274038462,0.75615895,6.90,12.026756
2.278846154,0.9547703,6.87,11.864038
2.283653846,1.1797037,6.95,11.969326
2.288461538,1.4764243,7.18,12.218188
2.293269231,1.8449322,7.07,12.318691
2.298076923,2.1895108,7.23,12.0147915
2.302884615,2.5580187,7.28,12.203832
2.307692308,2.395301,7.15,12.311512
2.3125,2.1368668,6.83,12.5579815
2.317307692,1.9861137,6.73,12.840344
2.322115385,1.8353605,6.75,12.883417
2.326923077,1.6965718,6.76,12.904953
2.331730769,1.5577831,6.95,12.964776
2.336538462,1.1533817,6.90,13.113136
2.341346154,0.6652284,6.92,13.462501
2.346153846,0.5336185,6.91,13.756828
2.350961538,0.3852582,6.97,14.024835
2.355769231,1.5841051,7.03,14.570417
2.360576923,1.7731448,7.05,15.226074
2.365384615,0.9475916,7.05,14.864745
2.370192308,1.2849916,7.10,15.010713
2.375,2.811667,7.21,15.558688
2.379807692,2.680057,7.32,15.345719
2.384615385,3.8190813,7.47,15.668762
2.389423077,1.3376356,7.51,15.740549
2.394230769,1.4405307,7.58,15.872159
2.399038462,2.1584032,7.48,16.247847
2.403846154,-0.07418015,7.54,15.874553
2.408653846,-0.047858164,7.45,16.195202
2.413461538,-0.9499845,7.43,16.369884
2.418269231,-0.6389065,7.46,16.204773
2.423076923,-0.46422416,7.49,16.412956
2.427884615,-1.0720228,7.41,16.176058
2.432692308,-2.2014754,7.48,15.759693
2.4375,-1.7994668,7.46,15.833873
2.442307692,0.43072346,7.34,15.719013
2.447115385,-0.8183746,7.32,15.317005
2.451923077,0.84230363,7.23,15.001141
2.456730769,-0.87819725,7.23,14.83603
2.461538462,0.2991135,7.28,14.582382
2.466346154,-0.11246668,7.33,14.864745
2.471153846,0.51208234,7.42,14.515381
2.475961538,0.18425392,7.41,14.254554
2.480769231,0.46901,7.43,14.103801
2.485576923,1.119881,7.43,13.960226
2.490384615,1.4237803,7.54,13.761615
2.495192308,1.3567789,7.77,13.69222
2.5,1.9238981,7.88,13.33807
2.504807692,2.5651975,8.01,13.096386
2.509615385,3.3763933,8.11,12.928883
2.514423077,3.5869691,8.15,12.837952
2.519230769,4.216304,8.19,12.852309
2.524038462,3.8142955,8.17,13.5031805
2.528846154,1.8210031,8.12,12.775736
2.533653846,-0.055036888,8.05,12.0794
2.538461538,-2.9648132,8.03,12.871452
2.543269231,-7.157188,7.94,13.4026785
2.548076923,-9.920997,7.82,13.663506
2.552884615,-6.781502,7.70,9.246197
2.557692308,-1.6343563,7.59,5.778873
2.5625,1.7587874,7.60,-0.43790218
2.567307692,1.4094229,7.58,3.4984317
2.572115385,-0.60540575,7.54,10.267968
2.576923077,-7.6764493,7.65,15.388792
2.581730769,-6.999256,7.77,16.908289
2.586538462,-4.268948,7.94,15.8769455
2.591346154,-1.6893932,8.03,14.005692
2.596153846,1.1797037,8.04,11.739607
2.600961538,3.1131735,8.03,10.220111
2.605769231,4.027264,7.99,8.308177
2.610576923,3.433823,7.85,4.338342
2.615384615,2.1919038,7.77,0.6532639
2.620192308,1.9765421,7.74,-4.0751224
2.625,3.878904,7.76,-10.423508
2.629807692,4.893497,7.73,-20.042997
