Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s),Magnetic Field X (uT),Magnetic Field Y (uT),Magnetic Field Z (uT),Orientation Quaternion Scalar,Orientation Quaternion X,Orientation Quaternion Y,Orientation Quaternion Z
-9.747538,0.53491,0.528255,-0.120367,0.022453,0.046999,19.459504,-40.91043,58.058086,0.679973,-0.194629,0.666932,0.234433
-9.740802,0.537077,0.433654,-0.13273,0.024115,0.0501,19.610622,-40.914176,58.076747,0.67956,-0.195056,0.666983,0.235126
-9.717427,0.476658,0.3862,-0.145228,0.02969,0.05687,19.756617,-40.910078,58.085268,0.679117,-0.195504,0.667043,0.235865
-9.735164,0.440894,0.323154,-0.142171,0.039087,0.05343,19.908165,-41.225551,58.069095,0.678654,-0.195961,0.667127,0.236579
-9.696962,0.521055,0.316655,-0.159046,0.044765,0.055937,19.914599,-41.235415,58.081766,0.67816,-0.196461,0.667212,0.237339
-9.734368,0.540718,0.361447,-0.16384,0.048902,0.06294,18.960571,-41.003498,57.449081,0.677645,-0.196959,0.667308,0.238127
-9.766837,0.566176,0.347896,-0.187025,0.053905,0.072467,19.000454,-41.060432,57.454899,0.677089,-0.197498,0.667403,0.238997
-9.813617,0.63977,0.399698,-0.19468,0.049071,0.078912,18.610581,-41.136827,57.572578,0.676532,-0.198036,0.667481,0.239906
-9.868539,0.636077,0.388377,-0.219316,0.036283,0.081938,18.595045,-41.476121,57.45626,0.675987,-0.198619,0.667503,0.240898
-9.783169,0.587117,0.273588,-0.311867,0.013828,0.085617,18.73019,-41.62262,57.448817,0.675423,-0.199415,0.667381,0.242157
-9.658218,0.477754,0.178983,-0.369145,0.017336,0.079999,18.742495,-41.75645,57.264186,0.674808,-0.20038,0.667208,0.243548
-9.690437,0.356254,0.239858,-0.356756,0.023558,0.084918,18.458808,-41.892747,57.054749,0.67418,-0.201304,0.667065,0.244913
-9.699617,0.377614,0.244485,-0.34585,0.026594,0.098021,18.629237,-42.197205,56.885056,0.673538,-0.202169,0.666948,0.246281
-9.734191,0.368273,0.188002,-0.342813,0.024081,0.108324,18.473589,-42.4972,56.821578,0.672894,-0.202995,0.666833,0.24767
-9.817073,0.380362,0.14728,-0.327408,0.022884,0.11209,18.65469,-42.621618,56.499741,0.672259,-0.20377,0.666732,0.249028
