Time (s) Auto,FN
2.972,1870.42
2.974,1865.73
2.976,1863.34
2.978,1863.57
2.98,1866.78
2.982,1866.11
2.984,1862.92
2.986,1858.1
2.988,1850.8
2.99,1841.55
2.992,1834.9
2.994,1824.67
2.996,1809.92
2.998,1796.05
3,1781.63
3.002,1765.25
3.004,1747.01
3.006,1726.51
3.008,1703.33
3.01,1680.8
3.012,1653.97
3.014,1623.65
3.016,1591.41
3.018,1554.88
3.02,1517.3
3.022,1477.44
3.024,1431.42
3.026,1382.55
3.028,1332.19
3.03,1277.26
3.032,1222.18
3.034,1166.71
3.036,1105.69
3.038,1047.01
3.04,984.46
3.042,921.59
3.044,861.09
3.046,802.31
3.048,744.64
3.05,688.4
3.052,632.9
3.054,574.67
3.056,515.29
3.058,457.85
3.06,405.39
3.062,352.49
3.064,304.96
3.066,247.8
3.068,193.66
3.07,155.82
3.072,122.15
3.074,87.77
3.076,63
3.078,47.08
3.08,22.16
3.082,11.25
3.084,-0.66
3.086,-7.72
3.088,-12.63
3.09,-6.06
3.092,-3.77
3.094,2.49
3.096,5.75
3.098,-2.81
3.1,-10.93
3.102,-5.61
3.104,4.15
3.106,4.72
3.108,-4.76
3.11,-12.66
3.112,-10.08
3.114,1.51
3.116,5
3.118,2.27
3.12,-1.05
3.122,-1.48
3.124,-3.98
3.126,-7.79
3.128,-7.17
3.13,-1.87
3.132,0.08
3.134,-2.16
3.136,-2.26
3.138,-0.57
3.14,0.27
3.142,-0.22
3.144,-2.19
3.146,-3.88
3.148,-4.35
3.15,-4.64
3.152,-3.48
3.154,-1.61
3.156,-1.2
3.158,-2.07
3.16,-2.54
3.162,-0.37
3.164,0.61
3.166,-1.27
3.168,-5.72
3.17,-5.63
3.172,-2.28
3.174,-0.8
3.176,-2.49
3.178,-3.59
3.18,-1.65
3.182,-0.46
3.184,-1.45
3.186,-1.7
3.188,-1.69
3.19,-2.59
3.192,-3.26
3.194,-3.43
3.196,-1.94
3.198,-1.83
3.2,-2.22
3.202,-2.04
3.204,-0.61
3.206,-1.84
3.208,-1.79
3.21,-1.71
3.212,-2.32
3.214,-3.05
3.216,-3.26
3.218,-2.23
3.22,-1.7
3.222,-1.99
3.224,-2.13
3.226,-1.22
3.228,-1.3
3.23,-2.05
3.232,-2.83
3.234,-2.38
3.236,-2.08
3.238,-2.1
3.24,-2.16
3.242,-1.58
3.244,-1.88
3.246,-2.2
3.248,-2.02
3.25,-1.86
3.252,-1.98
3.254,-2.08
3.256,-1.63
3.258,-2.53
3.26,-2.53
3.262,-2.1
3.264,-1.96
3.266,-1.45
3.268,-1.78
3.27,-1.45
3.272,-1.97
3.274,-2.29
3.276,-2.37
3.278,-1.75
3.28,-1.91
3.282,-1.67
3.284,-1.56
3.286,-1.5
3.288,-1.85
3.29,-2.32
3.292,-2.05
3.294,-2.16
3.296,-2.19
3.298,-2.3
3.3,-2.19
3.302,-2.16
3.304,-2.1
3.306,-1.8
3.308,-2.16
3.31,-1.56
3.312,-1.86
3.314,-1.83
3.316,-1.91
3.318,-2.18
3.32,-2.26
3.322,-2.03
3.324,-1.59
3.326,-1.59
3.328,-1.99
3.33,-1.72
3.332,-1.53
3.334,-2.13
3.336,-2.1
3.338,-2.08
3.34,-1.65
3.342,-1.84
3.344,-2.02
3.346,-2.43
3.348,-1.75
3.35,-1.93
3.352,-2.02
3.354,-1.8
3.356,-1.86
3.358,-1.78
3.36,-2.4
3.362,-1.51
3.364,-2.21
3.366,-1.92
3.368,-1.59
3.37,-1.86
3.372,-1.48
3.374,-1.96
3.376,-1.83
3.378,-1.89
3.38,-2
3.382,-2.19
3.384,-2.13
3.386,-1.95
3.388,-1.7
3.39,-2.26
3.392,-1.86
3.394,-1.86
