PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
3452,845777668,0.16981,0.738192,-0.134524,0.638861,6.141578197,1.336408138,-4.813920498,45.50968933,-10.64351559,-6.361140728,-0.540283203,-0.616210938,0.177734375
3453,845786001,0.16754,0.73899,-0.131903,0.639083,7.178752422,1.202364206,-4.347640038,48.5088768,-3.447337389,-7.359126091,-0.540039063,-0.618408203,0.184326172
3454,845794334,0.165442,0.739474,-0.129109,0.639641,8.422632217,0.958347738,-3.789268494,48.19238663,3.408006907,-9.267133713,-0.540527344,-0.619140625,0.183349609
3455,845802667,0.163501,0.739767,-0.126114,0.640398,9.342675209,0.889898717,-3.942647696,48.2754631,7.846990108,-11.91170979,-0.541015625,-0.623535156,0.185302734
3456,845811000,0.161715,0.740069,-0.123011,0.641106,9.830044746,0.971761882,-4.686371326,47.42775726,7.948754787,-14.52582455,-0.539306641,-0.62890625,0.182861328
3457,845819333,0.16014,0.740474,-0.119965,0.641611,9.976756096,1.034724832,-5.46032238,44.83449936,5.044502735,-16.40014648,-0.534912109,-0.631347656,0.186767578
3458,845827666,0.158717,0.741024,-0.117105,0.641858,9.925603867,1.062865973,-5.976200581,41.22566986,1.227385163,-16.68774223,-0.535888672,-0.635253906,0.186767578
3459,845835999,0.157391,0.741674,-0.114525,0.641899,9.79681015,1.109594107,-5.998369694,37.89173126,-2.407165527,-15.28089905,-0.535400391,-0.638183594,0.187744141
3460,845844332,0.156263,0.742403,-0.112399,0.641708,9.385924339,1.574094415,-6.015642643,31.74331856,-6.195538521,-13.01523304,-0.536132813,-0.643066406,0.190185547
3461,845852665,0.155417,0.743323,-0.110848,0.641118,8.819508553,2.061080217,-5.904356956,23.51042747,-12.68290997,-10.78945351,-0.535644531,-0.645019531,0.192626953
3462,845860998,0.154739,0.744414,-0.109671,0.640218,8.292749405,2.646625519,-6.0188694,18.45325089,-17.97832298,-9.370781898,-0.536132813,-0.6484375,0.195800781
3463,845869331,0.154231,0.745374,-0.108488,0.639424,8.559812546,2.37988925,-4.023732662,16.4185276,-15.23280621,-10.51868343,-0.535644531,-0.648925781,0.198730469
3464,845877664,0.154165,0.746125,-0.107422,0.638745,8.671443939,2.307358027,1.141538382,10.80752087,-12.03704357,-12.64230728,-0.535644531,-0.652832031,0.202148438
3465,845885997,0.152659,0.748252,-0.105558,0.636926,7.76155901,3.176510334,2.672632933,33.83030701,-36.25945282,-12.61861134,-0.536621094,-0.653808594,0.203613281
3466,845894330,0.148614,0.751883,-0.102598,0.634083,9.426992416,4.671447754,2.166027069,70.93653107,-61.06000519,-5.999604702,-0.537597656,-0.657714844,0.214599609
3467,845902663,0.143887,0.755324,-0.100671,0.631387,13.02403355,6.031184196,3.678000212,69.09326935,-61.25271225,11.20257282,-0.538818359,-0.659912109,0.227050781
3468,845910996,0.14011,0.757121,-0.101698,0.629918,17.0503273,7.790001869,4.751661301,30.26555824,-36.86750793,38.3653183,-0.542724609,-0.659423828,0.236328125
3469,845919329,0.135639,0.756979,-0.105646,0.630417,21.72732735,9.773826599,2.986456156,12.96109772,-8.066123962,81.25273132,-0.544189453,-0.650146484,0.240234375
3470,845927662,0.131481,0.754487,-0.114186,0.632793,28.39624214,10.07975197,5.952595234,-31.75967026,23.72743225,133.2820129,-0.548095703,-0.635986328,0.240722656
3471,845935995,0.129197,0.751232,-0.128083,0.634472,32.11870956,5.530835629,4.107405663,-100.3132706,16.39320183,172.4876862,-0.553466797,-0.609619141,0.233886719
3472,845944328,0.129313,0.746627,-0.142461,0.636816,26.00442314,-2.602915287,-0.807608187,-130.5210876,38.41321564,160.0723419,-0.562011719,-0.582763672,0.225341797
3473,845952661,0.130889,0.742608,-0.154014,0.638501,21.96972466,-6.176263809,1.609283209,-120.9726791,34.39608765,115.9508514,-0.562255859,-0.558837891,0.216308594
3474,845960994,0.132733,0.740337,-0.161212,0.63898,21.13326645,-10.12647629,-1.071344137,-84.92631531,15.14851284,63.26244736,-0.563232422,-0.539306641,0.209960938
3475,845969327,0.134246,0.739256,-0.163737,0.639275,21.3653698,-12.45831871,-1.067106962,-38.72332001,10.6089468,15.6117754,-0.562744141,-0.532470703,0.205566406
3476,845977660,0.13526,0.738833,-0.163877,0.639513,20.03572273,-11.40854836,-1.257745147,-11.56386948,7.519829273,-5.829379082,-0.565185547,-0.532470703,0.202880859
3477,845985993,0.13473,0.738325,-0.16203,0.640682,18.64832115,-8.681721687,-1.349644303,23.50582123,17.95198441,-10.50974751,-0.566162109,-0.532958984,0.201416016
3478,845994326,0.132941,0.737695,-0.158904,0.642561,18.18318367,-5.422860146,-0.689992011,48.91579437,25.78902245,-10.82979393,-0.565185547,-0.535400391,0.201904297
3479,846002659,0.130678,0.736866,-0.15499,0.644928,16.63518715,-3.50241828,-0.581720293,61.38722229,32.90672684,-13.30366993,-0.562744141,-0.538330078,0.197998047
3480,846010992,0.128176,0.735992,-0.150603,0.647463,14.40592575,-2.657986641,-0.823600054,68.28964996,35.35633469,-15.57116795,-0.560302734,-0.544189453,0.195068359
3481,846019325,0.125651,0.735301,-0.146029,0.649786,13.00583076,-2.19242835,-1.308786273,70.04917145,31.86138916,-18.01859856,-0.561279297,-0.549560547,0.190673828
3482,846027658,0.123025,0.734538,-0.141191,0.652216,11.85844135,-0.635513186,-1.504257321,73.52970886,33.83720016,-19.45403862,-0.558837891,-0.555419922,0.187255859
3483,846035991,0.120555,0.733751,-0.136392,0.654581,10.6926918,0.730666757,-1.052348971,71.42542267,33.64236832,-20.52758598,-0.559082031,-0.559814453,0.184082031
3484,846044324,0.118467,0.733081,-0.132047,0.656601,9.759334564,1.408745289,-1.524674535,63.04385757,29.05752373,-20.16387558,-0.557128906,-0.565185547,0.182128906
3485,846052657,0.116627,0.732527,-0.128246,0.658299,9.000510216,1.752705574,-2.018078566,55.23789597,24.33170128,-17.67029953,-0.5546875,-0.570068359,0.180175781
3486,846060990,0.114976,0.732019,-0.124851,0.659806,8.468133926,2.00041914,-1.997119427,49.1116333,21.88779831,-15.82398129,-0.552734375,-0.576904297,0.17578125
3487,846069323,0.113624,0.731434,-0.121693,0.661277,7.523262978,1.608840823,-1.751038313,44.05519104,22.15727425,-15.92784119,-0.553222656,-0.579345703,0.174316406
