timestamp,x,y,z
,-47.71937,11.966933,-14.737921
,-37.460976,1.0433079,-18.70297
,-11.976505,-10.806373,-5.3816504
3001869,4.292877,-10.722621,-11.454851
,15.331362,-6.7791085,-8.832224
,16.41535,-4.020086,-10.105251
,17.877417,4.83846,-8.638398
,25.372004,22.541195,-7.24094
,28.387068,32.947952,-15.458186
,30.356432,15.608939,-19.621847
,35.20925,9.368236,-15.307433
3001907,39.3418,14.426843,-17.001612
,33.988865,19.751064,-25.383968
,29.35859,16.776678,-25.238
,20.976233,9.698457,-23.809435
,8.5043955,5.4510446,-26.1162
,-0.28954187,13.984155,-17.853487
,-4.6518135,22.74459,8.430215
,-8.176567,23.551,20.188965
3001945,-10.629298,21.390205,32.352116
,-9.935354,18.688612,36.403313
,-14.958069,22.139185,20.337326
,-39.085762,3.328535,40.724903
,-59.068935,-9.370628,48.564068
,-37.362865,14.970033,32.23247
,-22.031506,29.109728,24.058298
,-8.707792,15.029856,24.484236
3001984,1.746823,10.660405,13.378749
,6.396243,5.671192,6.489567
,6.8580747,-4.8456388,4.5895977
,7.1189017,-8.413465,10.476151
,10.9284115,-11.433315,3.8166883
,11.0289135,-13.440965,-1.3089207
,8.0641,-15.805158,-3.441002
,5.460616,-8.798723,-8.963834
3002022,0.911698,-0.234505,-10.354114
,-2.60827,8.676684,-12.407228
,-4.635063,14.173195,-12.09615
,-7.4826236,17.200224,-12.5173025
,-9.930569,17.303118,-13.244746
,-11.995648,14.450772,-12.773343
,-12.270833,10.351721,-11.249061
,-10.55751,6.063629,-9.619491
3002060,-7.420408,2.6369848,-7.1260805
,-3.8166883,-0.4977249,-5.3768644
,-1.8114314,-1.7133222,-3.1706033
,-0.30629224,-1.7922882,-1.2849916
,-0.23211208,3.3452854,16.616354
,-1.5553902,9.708028,32.474155
,-1.1797037,21.203558,42.37601
,35.130283,10.849445,24.639774
3002099,52.20129,-0.2680057,-24.235373
,24.376554,5.941591,-24.098978
,5.494117,-4.3670573,-2.2110472
,1.9669704,-6.692964,-13.373963
,-10.669977,4.319199,-10.122002
,-18.903975,17.702734,3.0366004
,-41.914177,40.421005,-5.709479
,-66.11605,48.30803,-36.448776
3002137,-62.423794,40.375538,-20.418684
,-35.43179,8.848974,-9.475916
,-35.242752,7.3773355,-20.473722
,-31.619888,13.7329,-28.119062
